student_id,week,stress_level,hours_slept,comment
5812790,1,2,8,Partner art key sense do prevent start together have.
5812790,2,1,5,Able start wind have cultural.
5812790,3,5,4,Home half finish ok itself system medical fund.
5812790,4,4,8,Whether language decision oil station.
5812790,5,2,8,By computer until finish red dark.
5812790,6,2,9,Line prove husband make offer.
5812790,7,2,5,Claim sign most cup short become old help news attack.
5812790,8,4,6,Fast particularly international pull.
5888898,1,2,5,Position seem theory good reality no catch change term.
5888898,2,4,7,Until little away yes gas baby.
5888898,3,3,7,Physical decade government race morning kind rule.
5888898,4,1,7,Return region example opportunity billion read itself step physical.
5888898,5,1,8,Material position decide special decide rise cause night.
5888898,6,4,7,Part development seek exist leg mention.
5888898,7,2,6,Suffer ask once what top thus.
5888898,8,1,7,Part sport real police force stand common assume.
5379092,1,4,8,Answer scene nor fight support radio far.
5379092,2,4,9,May then seek meeting pattern.
5379092,3,5,8,Produce himself project this difference month threat paper.
5379092,4,5,9,Other understand performance improve better consumer.
5379092,5,2,9,Pick speak explain argue arm inside end but.
5379092,6,2,4,Recent share sell into owner oil history.
5379092,7,2,7,Safe wide everybody ever site dinner eat trip detail agency.
5379092,8,5,6,Fund garden should fish consumer memory gun expect all allow.
5841530,1,4,5,Floor both garden in one answer reach.
5841530,2,3,6,Degree water skin four PM through either computer.
5841530,3,1,4,How particularly act discussion answer use change respond mission feeling.
5841530,4,5,9,With government eye become federal major mention model side pick.
5841530,5,3,8,Whether party conference work.
5841530,6,3,5,Sell those even reach physical.
5841530,7,5,7,Throw everything no production as image research.
5841530,8,1,9,Hotel possible energy yourself forward region as surface process.
5782501,1,2,4,Hard watch cultural public next.
5782501,2,1,8,Pm ok raise simple apply arrive magazine their hear treat.
5782501,3,4,4,Might along whose produce energy hold western.
5782501,4,5,4,President late realize bill put.
5782501,5,1,9,What protect study help there.
5782501,6,1,8,Down big opportunity collection miss address.
5782501,7,2,8,Culture garden near general.
5782501,8,5,6,Sure resource recently politics factor I positive remember.
5326020,1,2,4,Player management itself place defense difficult data crime blood.
5326020,2,5,9,No bed tax everything business continue ever maybe.
5326020,3,5,4,Two everybody understand class every son floor.
5326020,4,4,6,Kid eat friend really candidate this effect number.
5326020,5,2,7,Pretty return it care stay opportunity time.
5326020,6,2,8,Back old scene off through suffer attention six call.
5326020,7,3,8,Write community onto stop something summer yet source.
5326020,8,1,6,Enjoy become significant art nor seven.
5911573,1,2,6,Resource ok present star analysis food method crime left child.
5911573,2,2,9,Among same recognize truth move feel travel idea.
5911573,3,5,6,Image enough when color will management your son.
5911573,4,4,8,Recent develop significant avoid white particular write analysis research again.
5911573,5,2,6,Property whose serious production over each.
5911573,6,4,7,Road add stage blood behavior him.
5911573,7,3,9,President tax own hand and go citizen make.
5911573,8,1,4,Fear standard order officer with prove no share executive chance.
5218089,1,3,9,Think hot generation account know hospital.
5218089,2,3,9,Table she option fine general memory structure happy debate identify.
5218089,3,4,7,Drive mission eat protect child plan throughout important trial.
5218089,4,5,6,Peace night worker natural PM human scene anyone.
5218089,5,4,9,Trade pressure back control through share necessary.
5218089,6,2,8,Site short recently sort knowledge huge.
5218089,7,3,7,Allow majority from within decision give traditional body worry west.
5218089,8,3,4,Around affect themselves between position seat me body with wind one.
5723784,1,4,4,Rule project ok light few debate hotel red hear administration.
5723784,2,4,9,Itself difficult set oil factor large just.
5723784,3,4,9,Develop analysis information partner character service dog teacher democratic.
5723784,4,3,9,Represent other gas argue protect guy song eat.
5723784,5,3,7,Enjoy message information food democratic truth.
5723784,6,1,5,Within floor consumer treatment interest onto until better.
5723784,7,3,8,Him specific if in drug drug save entire page.
5723784,8,3,7,Leader smile store staff clearly everything factor good week.
5739563,1,4,4,Tell history why plan lot everybody.
5739563,2,4,6,Environment soon former than candidate change point.
5739563,3,4,6,Avoid role carry turn accept national difficult commercial between.
5739563,4,3,5,Modern money laugh term blue decade.
5739563,5,5,9,Central finish condition edge life.
5739563,6,4,8,Under player important form star.
5739563,7,3,8,Quality too would dream attack possible theory trouble pay director.
5739563,8,1,6,Standard political business pay less authority nation develop safe fast.
5306276,1,2,4,Bag discover floor itself officer that political learn.
