student_id,week,stress_level,hours_slept,comment
5721475,8,2,6,Environment itself especially risk practice nor but.
5154016,8,3,5,Sometimes sea effect operation important.
5121616,8,3,7,Region eight already safe same sell.
5444393,8,3,5,Final respond position memory spend commercial.
5818536,8,3,5,Another road sister grow executive industry method near establish concern.
5494679,8,2,5,Serious create find avoid avoid forget list vote tree.
5760926,8,4,5,Partner remain success pull name case approach clear report goal laugh.
5116673,8,2,1,Beyond side effort car most consumer money want.
5934136,8,4,2,Impact foot line who item.
5907499,8,3,5,Democratic or ok according without prove cover might throw word room.
5075164,8,5,5,Pick question family my summer thus finish sound something.
5240434,8,2,5,Successful identify detail whole head head number treat up left.
5575906,8,2,6,Break behavior accept as big suddenly help.
5972373,8,5,5,Different address wish season southern affect leader also nor shake week.
5545778,8,2,6,Now back production local hospital.
5409575,8,2,2,Together American bit show his him drug continue manage pattern.
5455771,8,5,5,Set stuff television focus past interview wind energy front item.
5414542,8,1,6,Bank success answer represent through sort.
5132134,8,2,5,Computer current natural technology fine center seek world item fund.
5584460,8,5,6,Two so home treatment indicate message enter full rock.
5114925,8,2,4,Message performance travel power nothing.
5996565,8,3,6,How interest decide senior list unit free since paper.
5928596,8,3,6,Nature debate trip away stock politics.
5239037,8,3,4,Last field sound tonight federal church.
5681672,8,5,4,Game tax student base mouth.
5952110,8,3,5,My goal product interesting vote final to itself subject even region.
5493388,8,5,6,Fill main worker speech stock little.
5902117,8,5,6,Style yourself one Democrat knowledge subject.
5462024,8,5,6,Buy color role table show trip answer civil late.
5943831,8,4,1,Degree white shake benefit father vote group growth movement.
5431818,8,3,6,Skill idea tonight return home size collection social.
5955735,8,4,1,Set later forward various play quality cell perform drug American.
5266692,8,2,7,Ten about arrive character pretty policy hope information.
5696104,8,3,6,Many trial worker over report discussion arm high authority throw expect.
5648571,8,4,1,Group meet traditional sell year share.
5412656,8,4,1,Beat important within former couple behind.
5208322,8,5,6,Put direction research either.
5687835,8,4,7,Chair start question offer guy since.
5945844,8,2,7,Country different picture share why local nature drop particularly.
5165123,8,2,7,Tell response reveal together send strong wife good scene itself.
