student_id,module_id,module_code,week,attendance_status
5326172,7737497,JA3C8,2,1
5326172,9182494,RX1W7,2,0
5777990,7401675,FJ3S8,2,1
5777990,9636431,GP3S7,2,1
5163291,9182494,RX1W7,2,1
5163291,8310634,AZ3L9,2,1
5874065,5840408,GE1H6,2,1
5874065,9137254,QI3O8,2,1
5874065,9107063,OU3D2,2,1
5422612,7141831,ME3P5,2,1
5422612,8220381,NU3Z3,2,1
5422612,9695813,WC3Z6,2,1
5422612,4339099,QW1H5,2,1
5344188,8654288,UV3G8,2,0
5344188,4356593,FX1J9,2,0
5390494,3126316,JH3V1,2,0
5390494,4356593,FX1J9,2,1
5390494,8654288,UV3G8,2,1
5390494,8780216,AF2O7,2,0
5136669,4339099,QW1H5,2,1
5136669,7141831,ME3P5,2,1
5136669,3048956,SI1L1,2,1
5195256,7804269,NY1G5,2,1
5195256,9107063,OU3D2,2,1
5499381,3048956,SI1L1,2,0
5499381,3382403,YY3H9,2,1
5144396,9085971,HB3E4,2,0
5144396,6901492,CW1M7,2,0
5144396,3048956,SI1L1,2,1
5144396,3382403,YY3H9,2,1
5370871,3382403,YY3H9,2,1
5370871,9085971,HB3E4,2,1
5370871,3048956,SI1L1,2,0
5149012,9636431,GP3S7,2,1
5149012,7401675,FJ3S8,2,1
5149012,8160773,CD2D1,2,1
5730773,5840408,GE1H6,2,1
5730773,9107063,OU3D2,2,1
5730773,7804269,NY1G5,2,0
5730773,9137254,QI3O8,2,0
5730773,9636431,GP3S7,2,1
5704497,7401675,FJ3S8,2,1
5704497,8160773,CD2D1,2,1
5704497,9636431,GP3S7,2,0
5474357,6901492,CW1M7,2,0
5474357,9085971,HB3E4,2,1
5628324,3048956,SI1L1,2,1
5628324,6901492,CW1M7,2,0
5628324,3382403,YY3H9,2,1
5628324,9182494,RX1W7,2,1
5189684,8160773,CD2D1,2,1
5189684,7401675,FJ3S8,2,0
5189684,9636431,GP3S7,2,1
5394393,8160773,CD2D1,2,1
5394393,9636431,GP3S7,2,1
5394393,7401675,FJ3S8,2,1
5133826,9636431,GP3S7,2,1
5133826,7401675,FJ3S8,2,0
5133826,8160773,CD2D1,2,1
5596245,8220381,NU3Z3,2,1
5596245,4339099,QW1H5,2,1
5596245,7141831,ME3P5,2,1
5596245,9695813,WC3Z6,2,0
5089812,4339099,QW1H5,2,0
5089812,7141831,ME3P5,2,1
5305333,3126316,JH3V1,2,0
5305333,4356593,FX1J9,2,1
5653437,4225992,XF2H9,2,0
5653437,7803146,PN3A8,2,1
5653437,8904772,QZ3E5,2,1
5568220,7737497,JA3C8,2,0
5568220,9182494,RX1W7,2,0
5672919,8160773,CD2D1,2,1
5672919,9636431,GP3S7,2,1
5733746,6901492,CW1M7,2,1
5733746,3382403,YY3H9,2,0
5733746,9085971,HB3E4,2,1
5278442,3382403,YY3H9,2,1
5278442,6901492,CW1M7,2,1
5278442,3048956,SI1L1,2,0
5238205,8160773,CD2D1,2,0
5238205,7401675,FJ3S8,2,0
5238205,9636431,GP3S7,2,1
5238205,1506687,QR3M1,2,1
5044212,8160773,CD2D1,2,0
5044212,7401675,FJ3S8,2,1
5044212,9636431,GP3S7,2,1
