module_id,module_name,module_code,programme_id
4092056,Computer Graphics,WV2A1,16610
7668722,Data Analytics,AE1C3,16610
4017698,Cloud Computing,BZ2U9,16610
9509732,Database Systems,PK2J1,16610
4264213,Sustainable Supply Chain Management and the Circular Economy,VJ2S9,16610
2502502,Introduction to Python,VH3A2,33655
9600890,Deep Learning,ES1T3,33655
7837408,Strategy and Operations Management,VF2R8,33655
3028289,Strategy and Operations Management,XR1O3,32493
7602089,Deep Learning,TN1B5,32493
4068184,Data Analytics,TE1Q6,32493
1960263,Foundations,GP1M5,51680
2855817,Energy Storage Systems,LS1R1,51680
2882202,Machine Learning,ZO3P5,51680
4092105,Computer Graphics,TG3X9,51680
8165612,Machine Learning,OS3A3,31029
9446184,Database Systems,PP2A2,31029
6201784,Foundations,NG2O9,31029
1970589,Machine Learning,JP3I4,31029
2358803,Cloud Computing,NX3O3,11212
5685350,Data Analytics,SO3D2,11212
8675650,Supply Chain Management,UC2I8,11212
6819449,Deep Learning,VO2M6,49696
7712044,Sustainable Supply Chain Management and the Circular Economy,ZI2K7,49696
5838485,"Fundamentals of Games Research, Development and Management",RF2H4,49696
2272043,Strategy and Operations Management,ES3I4,49696
8642145,Computer Graphics,OO2Z2,49696
