student_id,week,stress_level,hours_slept,comment
5777990,2,2,7,But deep now car pass off live ahead.
5163291,2,1,4,Of street year student interview attorney history represent.
5874065,2,2,1,International peace national word experience break decade voice out lot produce.
5422612,2,1,8,Firm center indeed baby reflect evening great heavy star.
5344188,2,4,7,Interest debate medical we however wrong town.
5390494,2,3,5,Himself grow authority audience bed.
5136669,2,1,6,North huge alone approach anything me.
5195256,2,3,7,Entire young seven trial for few practice.
5144396,2,1,8,Power author story attack continue.
5149012,2,1,9,Any action keep write six strong feel thank yes gas.
5730773,2,1,8,Feel everything red parent collection.
5474357,2,2,6,Summer generation system not student.
5189684,2,3,6,Because all doctor could fact.
5394393,2,1,6,Mouth two board possible left.
5133826,2,3,7,Financial candidate court point management happy rest shake which.
5596245,2,3,1,Part about board yes society key industry.
5089812,2,1,9,Most work morning series garden including a increase.
5305333,2,2,5,Evening world skin prove participant still radio it.
5653437,2,4,8,Protect age reason Mrs citizen behavior them ground.
5672919,2,2,1,Perform would phone evening claim.
5733746,2,1,7,Direction parent such animal article city reduce lead structure.
5278442,2,4,7,Future claim will good traditional to.
5238205,2,2,9,Represent edge of story writer improve fast reason.
